,index,initial_sigmas,initial_pis,ComTime,Converge,ObjectEvaluations,pi,betas,gammas,Unnamed: 0
0,0,[3.11376616 0.         4.07665932 1.99159074 0.86769436 2.29868486],[-37.8995746],195.24827909469604,False,66,[-43.54896792],"[[-7.29844634]
 [ 3.35388047]
 [-1.06127934]
 [ 0.40621921]
 [ 4.12323738]]","[[ 2.7555151 ]
 [ 0.88689102]
 [ 0.42944568]
 [-0.532512  ]
 [-0.27695123]
 [ 0.02631263]]",
1,1,[3.86618647 0.         4.20798232 1.96062503 1.14049161 2.016642  ],[-39.26856274],209.89159297943115,False,70,[-44.56141709],"[[-7.29180458]
 [ 3.42538847]
 [-1.00928612]
 [ 0.42204105]
 [ 4.16575538]]","[[ 2.7619395 ]
 [ 0.89417636]
 [ 0.42358796]
 [-0.52928752]
 [-0.26695384]
 [ 0.02654136]]",
2,2,[3.57627722 0.         5.23642382 1.87059778 1.20169001 2.11067676],[-36.55238096],200.2725419998169,True,60,[-44.49052317],"[[-7.46672128]
 [ 3.49303158]
 [-1.28860331]
 [ 0.45442151]
 [ 4.21702208]]","[[ 2.75807428]
 [ 0.88227964]
 [ 0.43868607]
 [-0.53230263]
 [-0.27710097]
 [ 0.02622904]]",
3,3,[3.59981635 0.         5.26500241 1.9496908  0.85845097 1.85744784],[-49.33558254],194.56696391105652,False,62,[-45.23352415],"[[-7.26976105]
 [ 3.51568038]
 [-0.98341659]
 [ 0.41849257]
 [ 4.19063326]]","[[ 2.75964457]
 [ 0.90125386]
 [ 0.42114237]
 [-0.52011612]
 [-0.25324643]
 [ 0.02670271]]",
4,4,[3.04812915 0.         3.75948472 1.61176076 0.97840897 2.125535  ],[-49.15543987],189.47317385673523,False,59,[-45.35019903],"[[-7.29694487]
 [ 3.52690548]
 [-0.95160146]
 [ 0.42754111]
 [ 4.2029029 ]]","[[ 2.75474026]
 [ 0.89613335]
 [ 0.421629  ]
 [-0.51844845]
 [-0.25063691]
 [ 0.02664529]]",
5,5,[3.62120062 0.         4.20074749 2.15643289 0.90515601 1.84068245],[-40.26375947],206.4918830394745,True,68,[-43.98391923],"[[-7.28960136]
 [ 3.3783819 ]
 [-1.04174886]
 [ 0.41078905]
 [ 4.14269464]]","[[ 2.7565599 ]
 [ 0.8914538 ]
 [ 0.42731241]
 [-0.52860108]
 [-0.27041796]
 [ 0.02642949]]",
6,6,[3.37303477 0.         5.51772202 2.01752316 1.17190243 1.90694956],[-37.76947514],245.84344720840454,True,100,[-44.57616123],"[[-7.46925256]
 [ 3.49963154]
 [-1.3007481 ]
 [ 0.45598619]
 [ 4.22275992]]","[[ 2.75678133]
 [ 0.88292985]
 [ 0.43882351]
 [-0.53031953]
 [-0.2749063 ]
 [ 0.02624616]]",
7,7,[4.29194458 0.         5.11250482 1.88539079 0.9128513  2.32459779],[-44.5369482],167.31357884407043,False,56,[-44.99282117],"[[-7.27378218]
 [ 3.4807932 ]
 [-0.95061215]
 [ 0.41872587]
 [ 4.18059243]]","[[ 2.76153067]
 [ 0.89762106]
 [ 0.41983647]
 [-0.52504816]
 [-0.26007252]
 [ 0.02665658]]",
8,8,[3.47820475 0.         4.97662788 1.81643143 1.11607291 2.33940317],[-43.6749834],193.33383178710938,False,66,[-45.18305071],"[[-7.28342741]
 [ 3.50572516]
 [-1.00319312]
 [ 0.42494541]
 [ 4.18875965]]","[[ 2.76288937]
 [ 0.89801326]
 [ 0.42097367]
 [-0.52527772]
 [-0.25881941]
 [ 0.02665772]]",
9,9,[3.77775389 0.         4.08003913 2.06417344 1.20500618 2.0045136 ],[-40.09197271],197.04649019241333,False,75,[-45.08338351],"[[-7.4712279 ]
 [ 3.53748386]
 [-1.15966609]
 [ 0.4626995 ]
 [ 4.24808404]]","[[ 2.75528422]
 [ 0.88407128]
 [ 0.43232715]
 [-0.52689001]
 [-0.26720365]
 [ 0.02643042]]",
10,10,[3.19986729 0.         5.07984137 2.04293144 0.85853728 2.42137599],[-37.33646511],203.27326703071594,False,78,[-43.61459775],"[[-7.29283853]
 [ 3.36216729]
 [-1.08093   ]
 [ 0.40598873]
 [ 4.12372579]]","[[ 2.75918692]
 [ 0.88906072]
 [ 0.42866203]
 [-0.53396487]
 [-0.27835639]
 [ 0.02633858]]",
11,11,[3.19535    0.         5.48072257 1.87569126 0.94294238 1.73756214],[-45.93254909],168.4543478488922,False,64,[-44.86276079],"[[-7.28050237]
 [ 3.46864873]
 [-1.0342669 ]
 [ 0.41883522]
 [ 4.1786054 ]]","[[ 2.75956983]
 [ 0.89893951]
 [ 0.42416032]
 [-0.52288085]
 [-0.25853726]
 [ 0.02661003]]",
12,12,[3.34940448 0.         5.35223918 1.9143946  1.19005256 1.96022704],[-39.5059812],172.43123316764832,False,66,[-44.65441268],"[[-7.29206289]
 [ 3.44312035]
 [-1.06970311]
 [ 0.42320742]
 [ 4.16844366]]","[[ 2.76396262]
 [ 0.89610324]
 [ 0.42463068]
 [-0.52933834]
 [-0.26659837]
 [ 0.02654238]]",
13,13,[3.67556257 0.         5.08039671 1.5492613  1.05683941 2.30688363],[-35.44073017],232.13218998908997,False,94,[-43.6965205],"[[-7.28553376]
 [ 3.34537567]
 [-1.05437095]
 [ 0.40878062]
 [ 4.12602939]]","[[ 2.76296882]
 [ 0.8900608 ]
 [ 0.42881491]
 [-0.5360828 ]
 [-0.27913453]
 [ 0.0263117 ]]",
14,14,[3.5578787  0.         4.50493937 2.04678451 0.93567827 1.84927628],[-38.80839542],154.13153100013733,False,57,[-43.79631844],"[[-7.28885258]
 [ 3.35635717]
 [-1.05711753]
 [ 0.40905115]
 [ 4.13432401]]","[[ 2.75798913]
 [ 0.89112774]
 [ 0.42837983]
 [-0.53072816]
 [-0.27378217]
 [ 0.02638315]]",
15,15,[2.96072793 0.         4.93810759 1.58052311 1.02297216 2.38020252],[-38.02715695],132.86870312690735,True,48,[-43.95155266],"[[-7.29462921]
 [ 3.38729105]
 [-1.06854862]
 [ 0.41232895]
 [ 4.13845556]]","[[ 2.75934474]
 [ 0.88970756]
 [ 0.42872095]
 [-0.53207989]
 [-0.27360807]
 [ 0.02634403]]",
16,16,[3.48466386 0.         4.15849654 1.55293189 0.93574222 2.23903658],[-49.48625979],153.92554187774658,False,56,[-45.37852826],"[[-7.28053833]
 [ 3.52649771]
 [-0.93860573]
 [ 0.42302316]
 [ 4.20022565]]","[[ 2.75617997]
 [ 0.8978751 ]
 [ 0.42091464]
 [-0.51849171]
 [-0.25045568]
 [ 0.02666354]]",
17,17,[4.03728379 0.         5.47507866 1.72781295 1.19843946 2.10236892],[-40.4718966],161.88607788085938,True,56,[-45.11577637],"[[-7.44492749]
 [ 3.52867675]
 [-1.15609616]
 [ 0.45663204]
 [ 4.24422201]]","[[ 2.75971577]
 [ 0.888143  ]
 [ 0.43149035]
 [-0.52803606]
 [-0.26782374]
 [ 0.02645906]]",
18,18,[3.79436861 0.         4.56869863 1.52725301 0.84802691 2.27317478],[-44.6738116],243.07380771636963,True,89,[-44.53203799],"[[-7.27033875]
 [ 3.42867197]
 [-0.95450701]
 [ 0.41052388]
 [ 4.16329576]]","[[ 2.75687929]
 [ 0.8949421 ]
 [ 0.42346903]
 [-0.52445602]
 [-0.26201424]
 [ 0.02654129]]",
19,19,[3.87377062 0.         5.12364046 2.13865739 1.0626406  1.77392853],[-36.50006855],158.06821823120117,False,55,[-43.90748228],"[[-7.29249547]
 [ 3.36366754]
 [-1.08693891]
 [ 0.41426755]
 [ 4.13745013]]","[[ 2.76245662]
 [ 0.89202112]
 [ 0.42805152]
 [-0.53344565]
 [-0.27599463]
 [ 0.0263843 ]]",
20,20,[3.65118365 0.         4.92156423 1.57022351 1.21647413 2.19624112],[-38.52223109],269.94895005226135,False,108,[-44.75253153],"[[-7.45369242]
 [ 3.50260789]
 [-1.19220898]
 [ 0.45416488]
 [ 4.22839308]]","[[ 2.75772466]
 [ 0.88421791]
 [ 0.43502423]
 [-0.53007672]
 [-0.27207836]
 [ 0.0263302 ]]",
21,21,[4.10774211 0.         5.04154814 1.87704145 1.2113758  1.87429476],[-50.55275001],192.48877120018005,False,65,[-46.3588931],"[[-7.2899624 ]
 [ 3.64359023]
 [-0.93595546]
 [ 0.44049896]
 [ 4.23606059]]","[[ 2.7597837 ]
 [ 0.90040898]
 [ 0.41738336]
 [-0.51630947]
 [-0.24205047]
 [ 0.02678623]]",
22,22,[4.24075612 0.         3.74999276 1.8039141  1.0067023  1.76891174],[-47.70173699],169.7958800792694,False,64,[-45.31562919],"[[-7.2904114 ]
 [ 3.51323351]
 [-0.92959108]
 [ 0.42737761]
 [ 4.19880628]]","[[ 2.7548378 ]
 [ 0.89585431]
 [ 0.4212633 ]
 [-0.51870616]
 [-0.25130834]
 [ 0.02663202]]",
23,23,[3.47229455 0.         4.50096765 1.56673948 1.12026625 2.45348932],[-43.33559332],201.00535583496094,False,79,[-45.0995486],"[[-7.28463497]
 [ 3.49478836]
 [-0.97461823]
 [ 0.42402929]
 [ 4.18566142]]","[[ 2.76069445]
 [ 0.89550905]
 [ 0.42157241]
 [-0.52525288]
 [-0.25889598]
 [ 0.02660677]]",
24,24,[3.45389646 0.         3.84017308 1.96726085 1.20757503 1.65206877],[-35.32315768],179.49247789382935,True,68,[-43.90508149],"[[-7.32212734]
 [ 3.37526475]
 [-1.09050507]
 [ 0.42210455]
 [ 4.14245317]]","[[ 2.75767255]
 [ 0.88691773]
 [ 0.43015284]
 [-0.53253127]
 [-0.27452082]
 [ 0.02631068]]",
25,25,[3.612 0.    4.628 1.818 1.05  2.056],[-43.501],174.08145403862,False,63,[-44.84295624],"[[-7.28354064]
 [ 3.46020375]
 [-0.99894073]
 [ 0.42072938]
 [ 4.17752809]]","[[ 2.76026974]
 [ 0.89696663]
 [ 0.422811  ]
 [-0.524881  ]
 [-0.26067806]
 [ 0.02660356]]",
0,0,[3.68599464 0.         4.61369451 2.08980291 1.13830647 1.81127408],[-44.47384985],121.64908003807068,True,68,[-45.28624039],"[[-7.29424385]
 [ 3.51159395]
 [-1.00490273]
 [ 0.43013425]
 [ 4.1966017 ]]","[[ 2.76057978]
 [ 0.89785492]
 [ 0.42134598]
 [-0.5228815 ]
 [-0.25596945]
 [ 0.02667335]]",0.0
1,1,[3.51991749 0.         5.03221378 1.46618939 1.22384725 2.44153628],[-50.22818525],167.21249890327454,False,99,[-46.6245323],"[[-6.6665948 ]
 [ 2.3454445 ]
 [ 0.99593045]
 [ 0.33176054]
 [ 4.29551705]]","[[ 2.76331959]
 [ 0.88643247]
 [ 0.3234917 ]
 [-0.53467022]
 [-0.22209497]
 [ 0.02738789]]",1.0
2,2,[3.68359137 0.         3.9176958  1.54620895 1.13962415 2.4122615 ],[-51.97229157],141.96377301216125,True,81,[-46.35286049],"[[-7.295154  ]
 [ 3.65045729]
 [-0.90572196]
 [ 0.43892528]
 [ 4.238267  ]]","[[ 2.75562598]
 [ 0.89712607]
 [ 0.41780618]
 [-0.51465104]
 [-0.24024432]
 [ 0.02673296]]",2.0
3,3,[2.95143457 0.         4.17778116 2.11879605 0.93030863 2.3152214 ],[-42.99271096],117.25007200241087,False,66,[-44.60478856],"[[-7.30022304]
 [ 3.46281913]
 [-1.04414642]
 [ 0.41961828]
 [ 4.16917165]]","[[ 2.75809278]
 [ 0.89382658]
 [ 0.42387228]
 [-0.52623   ]
 [-0.26389369]
 [ 0.02657534]]",3.0
4,4,[3.90586349 0.         5.26768234 1.5949103  0.92185177 2.39630956],[-39.24139452],71.8684720993042,True,36,[-44.10273399],"[[-7.27253153]
 [ 3.3783136 ]
 [-0.98647989]
 [ 0.40879945]
 [ 4.14374673]]","[[ 2.76200883]
 [ 0.89346087]
 [ 0.42458537]
 [-0.53162   ]
 [-0.27214387]
 [ 0.02646368]]",4.0
5,5,[2.98919112 0.         4.86806635 1.57579725 1.04724727 2.37384335],[-35.12778628],117.01603102684021,False,60,[-43.53091096],"[[-7.30291448]
 [ 3.35232922]
 [-1.10222328]
 [ 0.40983849]
 [ 4.1200438 ]]","[[ 2.75940268]
 [ 0.88619329]
 [ 0.43193521]
 [-0.53586775]
 [-0.28019886]
 [ 0.02620263]]",5.0
6,6,[4.32820308 0.         5.44400213 1.68680191 1.07155529 1.74210479],[-40.29093487],102.62948298454285,True,51,[-44.43831646],"[[-7.27187097]
 [ 3.39394812]
 [-0.99356637]
 [ 0.41579872]
 [ 4.1591869 ]]","[[ 2.76360864]
 [ 0.89718251]
 [ 0.42361723]
 [-0.52913272]
 [-0.26753639]
 [ 0.02654043]]",6.0
7,7,[3.38194912 0.         4.5925198  1.76728198 1.03786624 1.88094966],[-49.48095479],117.34427189826964,False,59,[-45.61995649],"[[-7.29211036]
 [ 3.55551499]
 [-0.96423841]
 [ 0.43082876]
 [ 4.21129753]]","[[ 2.75745777]
 [ 0.89886885]
 [ 0.42067431]
 [-0.51803795]
 [-0.24854459]
 [ 0.02669965]]",7.0
8,8,[3.96359145 0.         4.29432812 2.01441353 1.12540497 1.99436563],[-50.41627583],171.54898500442502,False,92,[-46.17118138],"[[-7.29586936]
 [ 3.62735499]
 [-0.94210584]
 [ 0.43857999]
 [ 4.23084605]]","[[ 2.75813202]
 [ 0.8990976 ]
 [ 0.41783661]
 [-0.51646566]
 [-0.24364312]
 [ 0.0267739 ]]",8.0
9,9,[3.5994714  0.         4.97230233 1.91817818 0.86972957 1.81324909],[-39.40677216],105.62353610992432,True,53,[-43.65762311],"[[-7.27972018]
 [ 3.33982799]
 [-1.05291444]
 [ 0.40402055]
 [ 4.12767511]]","[[ 2.75797905]
 [ 0.89201488]
 [ 0.42877298]
 [-0.53072057]
 [-0.27465142]
 [ 0.02637213]]",9.0
10,10,[3.05259199 0.         3.9549845  2.07521307 1.03568187 1.8256081 ],[-37.02991786],96.09580588340759,True,47,[-43.68636957],"[[-7.31318198]
 [ 3.36098342]
 [-1.10930751]
 [ 0.41433128]
 [ 4.13257608]]","[[ 2.75612419]
 [ 0.8873921 ]
 [ 0.43127581]
 [-0.53178693]
 [-0.2756426 ]
 [ 0.02629441]]",10.0
11,11,[3.83702793 0.         5.55202639 1.74195567 1.12861829 2.34794654],[-38.55473426],147.59250020980838,False,78,[-44.74176581],"[[-7.44068182]
 [ 3.4986924 ]
 [-1.19052897]
 [ 0.45099222]
 [ 4.22473766]]","[[ 2.76033859]
 [ 0.88629146]
 [ 0.43355976]
 [-0.53112817]
 [-0.27346738]
 [ 0.02637083]]",11.0
12,12,[2.97161906 0.         4.14203403 1.79217734 1.07432082 1.83292951],[-37.48492804],127.051913022995,True,66,[-43.75794754],"[[-7.31134371]
 [ 3.36196594]
 [-1.09125836]
 [ 0.41506906]
 [ 4.13627455]]","[[ 2.75636852]
 [ 0.88820639]
 [ 0.43093337]
 [-0.53114098]
 [-0.2742055 ]
 [ 0.02630554]]",12.0
13,13,[3.06384961 0.         4.59871231 1.93981687 1.21659949 1.93964181],[-40.7305644],130.47343301773068,False,68,[-44.86442621],"[[-7.30961129]
 [ 3.47521951]
 [-1.05556458]
 [ 0.42958885]
 [ 4.1808744 ]]","[[ 2.76092235]
 [ 0.89440236]
 [ 0.42421965]
 [-0.52705786]
 [-0.26278249]
 [ 0.02656831]]",13.0
