brand,model_fromsales,year,model_id,brand_id,yb_id,ybm_id
ACURA,CL,2002,1,1,1,1
ACURA,CL,2003,1,1,2,194
ACURA,ILX,2013,2,1,12,2219
ACURA,MDX,2002,3,1,1,2
ACURA,MDX,2003,3,1,2,195
ACURA,MDX,2004,3,1,3,379
ACURA,MDX,2005,3,1,4,590
ACURA,MDX,2006,3,1,5,799
ACURA,MDX,2007,3,1,6,1009
ACURA,MDX,2008,3,1,7,1222
ACURA,MDX,2009,3,1,8,1443
ACURA,MDX,2010,3,1,9,1652
ACURA,MDX,2011,3,1,10,1857
ACURA,MDX,2012,3,1,11,2041
ACURA,MDX,2013,3,1,12,2220
ACURA,NSX,2002,4,1,1,3
ACURA,NSX,2003,4,1,2,196
ACURA,NSX,2004,4,1,3,380
ACURA,NSX,2005,4,1,4,591
ACURA,RDX,2008,5,1,7,1223
ACURA,RDX,2009,5,1,8,1444
ACURA,RDX,2010,5,1,9,1653
ACURA,RDX,2012,5,1,11,2042
ACURA,RDX,2013,5,1,12,2221
ACURA,RL,2002,6,1,1,4
ACURA,RL,2003,6,1,2,197
ACURA,RL,2004,6,1,3,381
ACURA,RL,2005,6,1,4,592
ACURA,RL,2006,6,1,5,800
ACURA,RL,2007,6,1,6,1010
ACURA,RL,2008,6,1,7,1224
ACURA,RL,2009,6,1,8,1445
ACURA,RL,2010,6,1,9,1654
ACURA,RL,2011,6,1,10,1858
ACURA,RL,2012,6,1,11,2043
ACURA,RSX,2002,7,1,1,5
ACURA,RSX,2003,7,1,2,198
ACURA,RSX,2004,7,1,3,382
ACURA,RSX,2005,7,1,4,593
ACURA,RSX,2006,7,1,5,801
ACURA,TL,2002,8,1,1,6
ACURA,TL,2003,8,1,2,199
ACURA,TL,2005,8,1,4,594
ACURA,TL,2006,8,1,5,802
ACURA,TL,2007,8,1,6,1011
ACURA,TL,2008,8,1,7,1225
ACURA,TL,2009,8,1,8,1446
ACURA,TL,2011,8,1,10,1859
ACURA,TL,2012,8,1,11,2044
ACURA,TL,2013,8,1,12,2222
ACURA,TSX,2004,9,1,3,383
ACURA,TSX,2005,9,1,4,595
ACURA,TSX,2006,9,1,5,803
ACURA,TSX,2008,9,1,7,1226
ACURA,TSX,2009,9,1,8,1447
ACURA,TSX,2010,9,1,9,1655
ACURA,TSX,2011,9,1,10,1860
ACURA,TSX,2012,9,1,11,2045
ACURA,TSX,2013,9,1,12,2223
ACURA,ZDX,2010,10,1,9,1656
ACURA,ZDX,2011,10,1,10,1861
ACURA,ZDX,2012,10,1,11,2046
AUDI,A3,2006,11,2,17,804
AUDI,A3,2007,11,2,18,1012
AUDI,A3,2009,11,2,20,1448
AUDI,A3,2010,11,2,21,1657
AUDI,A3,2011,11,2,22,1862
AUDI,A3,2013,11,2,24,2224
AUDI,A4,2002,12,2,13,7
AUDI,A4,2003,12,2,14,200
AUDI,A4,2004,12,2,15,384
AUDI,A4,2005,12,2,16,596
AUDI,A4,2006,12,2,17,805
AUDI,A4,2008,12,2,19,1227
AUDI,A4,2009,12,2,20,1449
AUDI,A4,2010,12,2,21,1658
AUDI,A4,2011,12,2,22,1863
AUDI,A4,2012,12,2,23,2047
AUDI,A4,2013,12,2,24,2225
AUDI,A6,2002,13,2,13,8
AUDI,A6,2003,13,2,14,201
AUDI,A6,2004,13,2,15,385
AUDI,A6,2006,13,2,17,806
AUDI,A6,2007,13,2,18,1013
AUDI,A6,2008,13,2,19,1228
AUDI,A6,2012,13,2,23,2048
AUDI,TT,2002,14,2,13,9
AUDI,TT,2003,14,2,14,202
AUDI,TT,2004,14,2,15,386
AUDI,TT,2005,14,2,16,597
AUDI,TT,2006,14,2,17,807
AUDI,TT,2008,14,2,19,1229
AUDI,TT,2009,14,2,20,1450
AUDI,TT,2010,14,2,21,1659
AUDI,TT,2012,14,2,23,2049
AUDI,TT,2013,14,2,24,2226
BMW,1 SERIES,2010,15,3,33,1660
BMW,1 SERIES,2011,15,3,34,1864
BMW,1 SERIES,2012,15,3,35,2050
BMW,1 SERIES,2013,15,3,36,2227
BMW,3 SERIES,2002,16,3,25,10
BMW,3 SERIES,2003,16,3,26,203
BMW,3 SERIES,2004,16,3,27,387
BMW,3 SERIES,2005,16,3,28,598
BMW,3 SERIES,2006,16,3,29,808
BMW,3 SERIES,2007,16,3,30,1014
BMW,3 SERIES,2008,16,3,31,1230
BMW,3 SERIES,2009,16,3,32,1451
BMW,3 SERIES,2010,16,3,33,1661
BMW,3 SERIES,2011,16,3,34,1865
BMW,3 SERIES,2013,16,3,36,2228
BMW,5 SERIES,2002,17,3,25,11
BMW,5 SERIES,2003,17,3,26,204
BMW,5 SERIES,2004,17,3,27,388
BMW,5 SERIES,2005,17,3,28,599
BMW,5 SERIES,2006,17,3,29,809
BMW,5 SERIES,2007,17,3,30,1015
BMW,5 SERIES,2008,17,3,31,1231
BMW,5 SERIES,2009,17,3,32,1452
