,detected_entity,year,model_id,brand_id,yb_id,ybm_id,org_id
59,CL,2002,1,1,1,1,185
49759,ACURA,2002,1,1,1,1,150328
610,MDX,2002,3,1,1,2,1851
629,MDX,2002,3,1,1,2,1858
766,MDX,2002,3,1,1,2,2109
882,MDX,2002,3,1,1,2,2219
1098,MDX,2002,3,1,1,2,2527
1126,MDX,2002,3,1,1,2,2653
1165,MDX,2002,3,1,1,2,2695
10749,MDX,2002,3,1,1,2,27861
48113,MDX,2002,3,1,1,2,146642
1229,NSX,2002,4,1,1,3,2862
1736,RL,2002,6,1,1,4,3498
1870,RL,2002,6,1,1,4,3734
74793,RL,2002,6,1,1,4,219646
2055,RSX,2002,7,1,1,5,4348
2209,RSX,2002,7,1,1,5,4663
2228,RSX,2002,7,1,1,5,4684
41840,RSX,2002,7,1,1,5,133332
46978,RSX,2002,7,1,1,5,144274
86250,RSX,2002,7,1,1,5,255631
1608,TL,2002,8,1,1,6,3405
2394,ACURA,2002,8,1,1,6,4928
3366,TL,2002,8,1,1,6,6248
3462,TL,2002,8,1,1,6,6604
57657,TL,2002,8,1,1,6,171173
57673,TL,2002,8,1,1,6,171186
87663,TL,2002,8,1,1,6,259006
92811,TL,2002,8,1,1,6,272557
92856,TL,2002,8,1,1,6,272672
4179,AUDI,2002,12,2,13,7,7787
5252,A4,2002,12,2,13,7,10245
5305,AUDI,2002,12,2,13,7,10321
5351,AUDI,2002,12,2,13,7,10376
5358,AUDI,2002,12,2,13,7,10382
5359,AUDI,2002,12,2,13,7,10383
64687,AUDI,2002,12,2,13,7,186962
67577,AUDI,2002,12,2,13,7,197035
67595,AUDI,2002,12,2,13,7,197163
81983,AUDI,2002,12,2,13,7,244022
83558,AUDI,2002,12,2,13,7,247681
89593,AUDI,2002,12,2,13,7,264049
102186,AUDI,2002,12,2,13,7,299095
2734,A6,2002,13,2,13,8,5291
4776,AUDI,2002,13,2,13,8,9013
5706,AUDI,2002,13,2,13,8,11372
6448,TT,2002,14,2,13,9,13509
6529,TT,2002,14,2,13,9,13714
6537,TT,2002,14,2,13,9,13721
6759,AUDI,2002,14,2,13,9,14395
48030,TT,2002,14,2,13,9,146548
58737,AUDI,2002,14,2,13,9,173418
2877,BMW,2002,16,3,25,10,5495
41724,BMW,2002,16,3,25,10,132948
48986,BMW,2002,16,3,25,10,148454
49760,BMW,2002,16,3,25,10,150328
58937,BMW,2002,16,3,25,10,173924
60080,BMW,2002,16,3,25,10,177058
63343,BMW,2002,16,3,25,10,184643
68201,BMW,2002,16,3,25,10,200089
81222,BMW,2002,16,3,25,10,241231
104109,BMW,2002,16,3,25,10,303990
6994,BMW,2002,17,3,25,11,14825
7036,BMW,2002,17,3,25,11,14867
7475,BMW,2002,17,3,25,11,16216
12180,BMW,2002,17,3,25,11,32196
33311,BMW,2002,17,3,25,11,113114
48434,BMW,2002,17,3,25,11,147383
48455,BMW,2002,17,3,25,11,147412
49703,BMW,2002,17,3,25,11,150083
57078,BMW,2002,17,3,25,11,169523
57798,BMW,2002,17,3,25,11,171377
58167,BMW,2002,17,3,25,11,172343
59005,BMW,2002,17,3,25,11,174099
67578,BMW,2002,17,3,25,11,197035
67596,BMW,2002,17,3,25,11,197163
83098,BMW,2002,17,3,25,11,246657
90944,BMW,2002,17,3,25,11,267738
101603,BMW,2002,17,3,25,11,295379
7013,BMW,2002,19,3,25,12,14840
8120,BMW,2002,19,3,25,12,19096
8661,BMW,2002,19,3,25,12,21837
13785,BMW,2002,19,3,25,12,39397
13853,BMW,2002,19,3,25,12,39579
67119,BMW,2002,19,3,25,12,195501
69537,BMW,2002,19,3,25,12,205298
79617,BMW,2002,19,3,25,12,230697
91292,BMW,2002,19,3,25,12,268360
67888,X5,2002,22,3,25,13,198424
70999,BMW,2002,22,3,25,13,211055
9253,Z3,2002,24,3,25,14,23658
9374,CENTURY,2002,27,4,37,16,24159
9842,LESABRE,2002,31,4,37,17,24977
91173,LESABRE,2002,31,4,37,17,268089
9910,REGAL,2002,35,4,37,18,25068
10517,REGAL,2002,35,4,37,18,26718
10520,REGAL,2002,35,4,37,18,26750
10604,RENDEZVOUS,2002,36,4,37,19,27215
11560,DEVILLE,2002,41,5,49,20,30311
11567,DEVILLE,2002,41,5,49,20,30339
16679,DEVILLE,2002,41,5,49,20,49960
99368,DEVILLE,2002,41,5,49,20,291009
11608,ELDORADO,2002,43,5,49,21,30405
11511,SEVILLE,2002,47,5,49,22,29747
11878,SEVILLE,2002,47,5,49,22,31389
12241,SEVILLE,2002,47,5,49,22,32274
73264,SEVILLE,2002,47,5,49,22,216609
