,detected_entity,brand_id,model_id,year,ybm_id,org_id
0,3,0,3,0,0,3227.0
1,3,0,3,0,0,5226.0
2,3,0,3,0,0,5292.0
3,SERIES,0,3,0,0,5814.0
4,3,0,3,0,0,6253.0
5,3,0,3,0,0,7377.0
6,3,0,3,0,0,8929.0
7,SERIES,0,3,0,0,11168.0
8,SERIES,0,3,0,0,12955.0
9,3,0,3,0,0,14849.0
10,3,0,3,0,0,15745.0
11,3,0,3,0,0,16201.0
12,3,0,3,0,0,16696.0
13,SERIES,0,3,0,0,17717.0
14,SERIES,0,3,0,0,20103.0
15,SERIES,0,3,0,0,25835.0
16,3,0,3,0,0,28755.0
17,SERIES,0,3,0,0,29057.0
18,SERIES,0,3,0,0,29654.0
19,SERIES,0,3,0,0,32317.0
20,SERIES,0,3,0,0,56950.0
21,SERIES,0,3,0,0,57050.0
22,SERIES,0,3,0,0,57131.0
23,3,0,3,0,0,57678.0
24,SERIES,0,3,0,0,58027.0
25,SERIES,0,3,0,0,59360.0
26,SERIES,0,3,0,0,61284.0
27,SERIES,0,3,0,0,63206.0
28,SERIES,0,3,0,0,63214.0
29,SERIES,0,3,0,0,63230.0
30,SERIES,0,3,0,0,63407.0
31,SERIES,0,3,0,0,63436.0
32,SERIES,0,3,0,0,75230.0
33,3,0,3,0,0,76596.0
34,SERIES,0,3,0,0,87235.0
35,3,0,3,0,0,87796.0
36,3,0,3,0,0,91522.0
37,3,0,3,0,0,91527.0
38,3,0,3,0,0,95124.0
39,3,0,3,0,0,103001.0
40,3,0,3,0,0,111259.0
41,3,0,3,0,0,114064.0
42,3,0,3,0,0,116437.0
43,3,0,3,0,0,126272.0
44,SERIES,0,3,0,0,133844.0
45,SERIES,0,3,0,0,138300.0
46,3,0,3,0,0,148026.0
47,3,0,3,0,0,148183.0
48,SERIES,0,3,0,0,148407.0
49,3,0,3,0,0,148465.0
50,3,0,3,0,0,148550.0
51,3,0,3,0,0,148565.0
52,SERIES,0,3,0,0,153049.0
53,SERIES,0,3,0,0,153555.0
54,SERIES,0,3,0,0,157590.0
55,SERIES,0,3,0,0,168927.0
56,SERIES,0,3,0,0,169645.0
57,3,0,3,0,0,170737.0
58,SERIES,0,3,0,0,172004.0
59,3,0,3,0,0,174191.0
60,SERIES,0,3,0,0,175657.0
61,SERIES,0,3,0,0,178527.0
62,3,0,3,0,0,178794.0
63,SERIES,0,3,0,0,180940.0
64,3,0,3,0,0,183150.0
65,3,0,3,0,0,183387.0
66,3,0,3,0,0,183412.0
67,3,0,3,0,0,183935.0
68,3,0,3,0,0,184218.0
69,3,0,3,0,0,184664.0
70,3,0,3,0,0,184665.0
71,3,0,3,0,0,184978.0
72,3,0,3,0,0,185060.0
73,3,0,3,0,0,187374.0
74,3,0,3,0,0,187645.0
75,3,0,3,0,0,187659.0
76,3,0,3,0,0,187690.0
77,3,0,3,0,0,193898.0
78,3,0,3,0,0,193994.0
79,SERIES,0,3,0,0,194052.0
80,SERIES,0,3,0,0,194054.0
81,3,0,3,0,0,194262.0
82,3,0,3,0,0,195540.0
83,SERIES,0,3,2004,0,196990.0
84,SERIES,0,3,0,0,216711.0
85,3,0,3,0,0,221260.0
86,SERIES,0,3,0,0,223727.0
87,SERIES,0,3,0,0,235744.0
88,SERIES,0,3,0,0,237784.0
